index,UN,Cyc,SenM2,SenM3,SenM4,SenM7,SenM8,SenM9,SenM11,SenM12,SenM13,SenM14,SenM15,SenM17,SenM20,SenM21,RUL
0,1,1,-0.5049953795949781,-0.6036446845933067,-0.5939785871737292,0.67005122628819,-0.7129304563374973,-0.5640469826033772,-0.5452054235311167,0.4353136678541051,-0.42078354473541496,-0.589968111325765,-0.6625366212385957,-0.601445545997959,0.6198737716868408,0.6185158943782324,142
1,1,2,-0.5034936693671492,-0.6005888012609428,-0.588180471197397,0.6643621168186089,-0.6987934749181076,-0.5757553437495065,-0.5473993015780346,0.4404712937477464,-0.41566697445471146,-0.5931966325013549,-0.6470614884193786,-0.6061714535646596,0.6206448559070867,0.6147607473806083,141
2,1,3,-0.5019919591393205,-0.5975329179285791,-0.5823823552210647,0.6586730073490278,-0.6846564934987179,-0.587463704895636,-0.5495931796249527,0.44562891964138773,-0.41055040417400795,-0.5964251536769447,-0.6315863556001614,-0.6108973611313604,0.6214159401273328,0.6110056003829841,140
3,1,4,-0.5004902489114916,-0.5944770345962153,-0.5765842392447326,0.6529838978794468,-0.6705195120793283,-0.5991720660417654,-0.5517870576718706,0.450786545535029,-0.4054338338933045,-0.5996536748525345,-0.6161112227809443,-0.615623268698061,0.6221870243475788,0.60725045338536,139
4,1,5,-0.4989885386836629,-0.5914211512638515,-0.5707861232684003,0.6472947884098657,-0.6563825306599386,-0.6108804271878949,-0.5539809357187886,0.45594417142867033,-0.400317263612601,-0.6028821960281244,-0.6006360899617272,-0.6203491762647617,0.6229581085678249,0.6034953063877359,138
5,1,6,-0.4974868284558341,-0.5883652679314877,-0.5649880072920681,0.6416056789402845,-0.6422455492405489,-0.6225887883340243,-0.5561748137657065,0.46110179732231166,-0.3952006933318975,-0.6061107172037143,-0.58516095714251,-0.6250750838314624,0.6237291927880708,0.5997401593901118,137
6,1,7,-0.4959851182280053,-0.5853093845991238,-0.5591898913157358,0.6359165694707034,-0.6281085678211592,-0.6342971494801538,-0.5583686918126246,0.466259423215953,-0.390084123051194,-0.6093392383793041,-0.569685824323293,-0.6298009913981631,0.6245002770083169,0.5959850123924877,136
7,1,8,-0.4944834080001765,-0.5822535012667601,-0.5533917753394036,0.6302274600011224,-0.6139715864017695,-0.6460055106262832,-0.5605625698595426,0.47141704910959426,-0.38496755277049055,-0.612567759554894,-0.5542106915040759,-0.6345268989648638,0.6252713612285629,0.5922298653948636,135
8,1,9,-0.4929816977723477,-0.5791976179343963,-0.5475936593630714,0.6245383505315413,-0.5998346049823798,-0.6577138717724127,-0.5627564479064605,0.4765746750032356,-0.37985098248978705,-0.6157962807304839,-0.5387355586848588,-0.6392528065315645,0.6260424454488088,0.5884747183972394,134
9,1,10,-0.4914799875445188,-0.5761417346020328,-0.5417955433867392,0.6188492410619604,-0.5856976235629902,-0.6694222329185422,-0.5649503259533787,0.4817323008968769,-0.3747344122090837,-0.6190248019060737,-0.5232604258656418,-0.6439787140982651,0.6268135296690548,0.5847195713996154,133
10,1,11,-0.4896137542995614,-0.5726255891902656,-0.5375254653552501,0.6134978373911946,-0.5701187409918197,-0.6795283461832088,-0.5671880532355732,0.48614487195910483,-0.3685726782342846,-0.6221249446014592,-0.5091524891495656,-0.6461437527336349,0.6254620207027334,0.5806813499504917,132
11,1,12,-0.4874277825475689,-0.5687917855580598,-0.5342645728542127,0.6082485299119695,-0.5535943583207478,-0.6885962470472035,-0.5694821541388009,0.4900179321523278,-0.361847694028643,-0.625142959504755,-0.49583145579421506,-0.64673178791855,0.6227045730670239,0.5765192204889067,131
12,1,13,-0.4851261116780794,-0.5645245145531521,-0.5321047138157624,0.6031520629828733,-0.5360791174638853,-0.6965703248058271,-0.5717963884781121,0.49335084332165785,-0.3545720950589422,-0.6279482595877359,-0.48343327544713016,-0.6456043154978862,0.618489284152216,0.5722017686302029,130
13,1,14,-0.48258533889869015,-0.5598275467060819,-0.531062490048528,0.5982092668188708,-0.5173980658042313,-0.7033579887524374,-0.5739807274418651,0.496129541515139,-0.3467653205048482,-0.6305189523856152,-0.4719694362033951,-0.6427552607279975,0.6127112795840091,0.5677778587743715,129
14,1,15,-0.47980546420940184,-0.554700882016849,-0.5311379015525097,0.5934201414199622,-0.49755120334178593,-0.708959238887034,-0.5760351710300602,0.49835402673277146,-0.33842737036636095,-0.6328550378983924,-0.46143993806300976,-0.638184623608884,0.6053705593624025,0.5632474909214121,128
15,1,16,-0.476786487610214,-0.5491445204854534,-0.5323309483277071,0.5887846867861471,-0.47653853007654917,-0.7133740752096173,-0.5779597192426972,0.5000242989745552,-0.3295582446434804,-0.6349565161260675,-0.45184478102597425,-0.6318924041405455,0.5964671234873967,0.5586106650713251,127
16,1,17,-0.47352840910112687,-0.543158462111895,-0.5346416303741206,0.5843029029174259,-0.454360046008521,-0.7166024977201867,-0.5797543720797763,0.5011403582404902,-0.3201579433362066,-0.6368233870686411,-0.4431839650922886,-0.6238786023229821,0.5860009719589914,0.5538673812241104,126
17,1,18,-0.4700312286821403,-0.5367427068961738,-0.5380699476917499,0.5799747898137984,-0.4310157511377013,-0.7186445064187426,-0.5814191295412975,0.5017022045305765,-0.3102264664445396,-0.6384556507261125,-0.4354574902619527,-0.6141432181561939,0.5739721047771865,0.549017639379768,125
18,1,19,-0.4662949463532543,-0.5298972548382899,-0.5426159002805951,0.5758003474752647,-0.4065056454640902,-0.7195001013052851,-0.5829539916272605,0.5017098378448138,-0.29976381396847923,-0.639853307098482,-0.4286653565349666,-0.602686251640181,0.5603805219419825,0.5440614395382979,124
19,1,20,-0.462319562114469,-0.5226221059382433,-0.5482794881406562,0.5717795759018247,-0.38082972898768774,-0.7191692823798139,-0.5843589583376656,0.5011632581832024,-0.28876998590802566,-0.6410163561857497,-0.4228075639113303,-0.589507702774943,0.545226223453379,0.5389987816997001,123
20,1,21,-0.45803545490379305,-0.5150245228124086,-0.5549366938486419,0.5679230451474222,-0.35406521844994787,-0.7177125141863137,-0.5857134526065793,0.5000830583130912,-0.2771832628677379,-0.6419867312598181,-0.41785761836116286,-0.5747266365359384,0.5286117509841175,0.5338478314422147,122
21,1,22,-0.45361037764205336,-0.50719934328129,-0.5625021053631838,0.5642760323013639,-0.3262736712531491,-0.7151456565702047,-0.5870988412860343,0.49852141966878716,-0.2650745978533993,-0.6427889748495463,-0.4138060878564603,-0.5584305292316665,0.5105606259415946,0.5285623503308969,121
22,1,23,-0.4489729333422028,-0.49883184056231833,-0.5716043634914335,0.5609419895729666,-0.2969837952858156,-0.7108917852214428,-0.5887201683803166,0.4962112163411854,-0.2519561322526426,-0.6433698296995694,-0.4112259925412164,-0.5398249258881276,0.4904269265037109,0.5230233475161259,120
23,1,24,-0.44433548904235215,-0.49046433784334664,-0.580706621619683,0.5576079468445694,-0.2676939193184822,-0.706637913872681,-0.5903414954745992,0.49390101301358375,-0.23883766665188588,-0.6439506845495926,-0.4086458972259725,-0.5212193225445886,0.4702932270658274,0.517484344701355,119
24,1,25,-0.43969804474250146,-0.48209683512437496,-0.5898088797479326,0.5542739041161722,-0.23840404335114884,-0.7023840425239193,-0.5919628225688819,0.49159080968598207,-0.2257192010511292,-0.6445315393996157,-0.4060658019107286,-0.5026137192010496,0.4501595276279439,0.511945341886584,118
25,1,26,-0.4350606004426508,-0.47372933240540327,-0.5989111378761822,0.5509398613877751,-0.20911416738381544,-0.6981301711751575,-0.5935841496631644,0.4892806063583804,-0.2126007354503725,-0.6451123942496388,-0.40348570659548477,-0.4840081158575107,0.4300258281900604,0.5064063390718131,117
26,1,27,-0.43042315614280013,-0.4653618296864316,-0.6080133960044318,0.5476058186593779,-0.17982429141648204,-0.6938762998263958,-0.5952054767574471,0.48697040303077865,-0.19948226984961578,-0.645693249099662,-0.4009056112802409,-0.4654025125139717,0.40989212875217695,0.5008673362570422,116
